seat_config,class_size,rho0,delta_lambda,trial,status,completed_at
outer_corner,48,0.8,0.1,1,done,2026-07-24T00:03:53.608
outer_corner,48,0.8,0.2,1,done,2026-07-24T00:03:54.102
outer_corner,48,0.8,0.3,1,done,2026-07-24T00:03:54.555
outer_corner,48,0.8,0.4,1,done,2026-07-24T00:03:55.242
outer_corner,64,0.8,0.0,1,done,2026-07-24T00:03:56.267
outer_corner,64,0.8,0.1,1,done,2026-07-24T00:03:57.891
outer_corner,64,0.8,0.2,1,done,2026-07-24T00:03:59.854
outer_corner,64,0.8,0.3,1,done,2026-07-24T00:04:01.598
outer_corner,64,0.8,0.4,1,done,2026-07-24T00:04:03.349
outer_corner,96,0.8,0.0,1,done,2026-07-24T00:04:13.021
outer_corner,96,0.8,0.1,1,done,2026-07-24T00:04:26.956
outer_corner,96,0.8,0.2,1,done,2026-07-24T00:04:38.807
outer_corner,96,0.8,0.3,1,done,2026-07-24T00:04:52.572
outer_corner,96,0.8,0.4,1,done,2026-07-24T00:05:03.781
outer_corner,128,0.8,0.0,1,done,2026-07-24T00:05:28.240
outer_corner,128,0.8,0.1,1,done,2026-07-24T00:05:52.515
outer_corner,128,0.8,0.2,1,done,2026-07-24T00:06:04.556
outer_corner,128,0.8,0.3,1,done,2026-07-24T00:06:12.637
outer_corner,128,0.8,0.4,1,done,2026-07-24T00:06:22.122
outer_corner,32,0.9,0.0,1,done,2026-07-24T00:06:22.151
outer_corner,32,0.9,0.1,1,done,2026-07-24T00:06:22.222
outer_corner,32,0.9,0.2,1,done,2026-07-24T00:06:22.238
outer_corner,32,0.9,0.3,1,done,2026-07-24T00:06:22.541
outer_corner,32,0.9,0.4,1,done,2026-07-24T00:06:22.567
outer_corner,48,0.9,0.0,1,done,2026-07-24T00:06:23.439
outer_corner,48,0.9,0.1,1,done,2026-07-24T00:06:24.418
outer_corner,48,0.9,0.2,1,done,2026-07-24T00:06:25.279
outer_corner,48,0.9,0.3,1,done,2026-07-24T00:06:26.082
outer_corner,48,0.9,0.4,1,done,2026-07-24T00:06:26.523
outer_corner,64,0.9,0.0,1,done,2026-07-24T00:06:27.529
outer_corner,64,0.9,0.1,1,done,2026-07-24T00:06:29.008
outer_corner,64,0.9,0.2,1,done,2026-07-24T00:06:30.811
outer_corner,64,0.9,0.3,1,done,2026-07-24T00:06:32.535
outer_corner,64,0.9,0.4,1,done,2026-07-24T00:06:34.738
outer_corner,96,0.9,0.0,1,done,2026-07-24T00:06:43.936
outer_corner,96,0.9,0.1,1,done,2026-07-24T00:06:56.171
outer_corner,96,0.9,0.2,1,done,2026-07-24T00:07:08.317
outer_corner,96,0.9,0.3,1,done,2026-07-24T00:07:22.609
outer_corner,96,0.9,0.4,1,done,2026-07-24T00:07:32.356
outer_corner,128,0.9,0.0,1,done,2026-07-24T00:07:59.034
outer_corner,128,0.9,0.1,1,done,2026-07-24T00:08:21.309
outer_corner,128,0.9,0.2,1,done,2026-07-24T00:08:31.388
outer_corner,128,0.9,0.3,1,done,2026-07-24T00:08:41.601
outer_corner,128,0.9,0.4,1,done,2026-07-24T00:08:51.312
outer_corner,32,1.0,0.0,1,done,2026-07-24T00:08:51.329
outer_corner,32,1.0,0.1,1,done,2026-07-24T00:08:51.375
outer_corner,32,1.0,0.2,1,done,2026-07-24T00:08:51.649
outer_corner,32,1.0,0.3,1,done,2026-07-24T00:08:51.665
outer_corner,32,1.0,0.4,1,done,2026-07-24T00:08:51.695
outer_corner,48,1.0,0.0,1,done,2026-07-24T00:08:52.727
outer_corner,48,1.0,0.1,1,done,2026-07-24T00:08:53.195
outer_corner,48,1.0,0.2,1,done,2026-07-24T00:08:53.749
outer_corner,48,1.0,0.3,1,done,2026-07-24T00:08:54.563
outer_corner,48,1.0,0.4,1,done,2026-07-24T00:08:55.008
outer_corner,64,1.0,0.0,1,done,2026-07-24T00:08:56.048
outer_corner,64,1.0,0.1,1,done,2026-07-24T00:08:57.245
outer_corner,64,1.0,0.2,1,done,2026-07-24T00:08:59.035
outer_corner,64,1.0,0.3,1,done,2026-07-24T00:09:00.930
outer_corner,64,1.0,0.4,1,done,2026-07-24T00:09:03.261
outer_corner,96,1.0,0.0,1,done,2026-07-24T00:09:13.251
outer_corner,96,1.0,0.1,1,done,2026-07-24T00:09:26.300
outer_corner,96,1.0,0.2,1,done,2026-07-24T00:09:38.908
outer_corner,96,1.0,0.3,1,done,2026-07-24T00:09:52.436
outer_corner,96,1.0,0.4,1,done,2026-07-24T00:10:02.938
outer_corner,128,1.0,0.0,1,done,2026-07-24T00:10:28.098
outer_corner,128,1.0,0.1,1,done,2026-07-24T00:10:51.111
outer_corner,128,1.0,0.2,1,done,2026-07-24T00:11:00.185
outer_corner,128,1.0,0.3,1,done,2026-07-24T00:11:09.307
outer_corner,128,1.0,0.4,1,done,2026-07-24T00:11:19.384
inner_corner,32,0.1,0.0,1,done,2026-07-24T00:11:19.408
inner_corner,32,0.1,0.1,1,done,2026-07-24T00:11:19.461
inner_corner,32,0.1,0.2,1,done,2026-07-24T00:11:19.636
inner_corner,32,0.1,0.3,1,done,2026-07-24T00:11:19.703
inner_corner,32,0.1,0.4,1,done,2026-07-24T00:11:19.727
inner_corner,48,0.1,0.0,1,done,2026-07-24T00:11:20.305
inner_corner,48,0.1,0.1,1,done,2026-07-24T00:11:21.132
inner_corner,48,0.1,0.2,1,done,2026-07-24T00:11:21.802
inner_corner,48,0.1,0.3,1,done,2026-07-24T00:11:23.179
inner_corner,48,0.1,0.4,1,done,2026-07-24T00:11:24.704
inner_corner,64,0.1,0.0,1,done,2026-07-24T00:11:25.946
inner_corner,64,0.1,0.1,1,done,2026-07-24T00:11:27.435
inner_corner,64,0.1,0.2,1,done,2026-07-24T00:11:28.311
inner_corner,64,0.1,0.3,1,done,2026-07-24T00:11:29.328
inner_corner,64,0.1,0.4,1,done,2026-07-24T00:11:31.214
inner_corner,96,0.1,0.0,1,done,2026-07-24T00:11:39.538
inner_corner,96,0.1,0.1,1,done,2026-07-24T00:11:52.818
inner_corner,96,0.1,0.2,1,done,2026-07-24T00:12:11.782
inner_corner,96,0.1,0.3,1,done,2026-07-24T00:12:24.081
inner_corner,96,0.1,0.4,1,done,2026-07-24T00:12:41
inner_corner,128,0.1,0.0,1,done,2026-07-24T00:13:08.226
inner_corner,128,0.1,0.1,1,done,2026-07-24T00:13:34.862
inner_corner,128,0.1,0.2,1,done,2026-07-24T00:13:47.500
inner_corner,128,0.1,0.3,1,done,2026-07-24T00:13:57.272
inner_corner,128,0.1,0.4,1,done,2026-07-24T00:14:21.119
inner_corner,32,0.2,0.0,1,done,2026-07-24T00:14:21.161
inner_corner,32,0.2,0.1,1,done,2026-07-24T00:14:21.230
inner_corner,32,0.2,0.2,1,done,2026-07-24T00:14:21.291
inner_corner,32,0.2,0.3,1,done,2026-07-24T00:14:21.376
inner_corner,32,0.2,0.4,1,done,2026-07-24T00:14:21.463
inner_corner,48,0.2,0.0,1,done,2026-07-24T00:14:23.239
inner_corner,48,0.2,0.1,1,done,2026-07-24T00:14:24.446
inner_corner,48,0.2,0.2,1,done,2026-07-24T00:14:26.110
inner_corner,48,0.2,0.3,1,done,2026-07-24T00:14:27.835
inner_corner,48,0.2,0.4,1,done,2026-07-24T00:14:29.303
inner_corner,64,0.2,0.0,1,done,2026-07-24T00:14:33.853
inner_corner,64,0.2,0.1,1,done,2026-07-24T00:14:35.710
inner_corner,64,0.2,0.2,1,done,2026-07-24T00:14:37.833
inner_corner,64,0.2,0.3,1,done,2026-07-24T00:14:38.840
inner_corner,64,0.2,0.4,1,done,2026-07-24T00:14:39.822
inner_corner,96,0.2,0.0,1,done,2026-07-24T00:14:41.998
inner_corner,96,0.2,0.1,1,done,2026-07-24T00:14:45.587
inner_corner,96,0.2,0.2,1,done,2026-07-24T00:14:50.640
inner_corner,96,0.2,0.3,1,done,2026-07-24T00:14:57.528
inner_corner,96,0.2,0.4,1,done,2026-07-24T00:15:04.635
inner_corner,128,0.2,0.0,1,done,2026-07-24T00:15:21.991
inner_corner,128,0.2,0.1,1,done,2026-07-24T00:15:45.549
inner_corner,128,0.2,0.2,1,done,2026-07-24T00:15:56.825
inner_corner,128,0.2,0.3,1,done,2026-07-24T00:16:09.438
inner_corner,128,0.2,0.4,1,done,2026-07-24T00:16:33.430
inner_corner,32,0.3,0.0,1,done,2026-07-24T00:16:33.480
inner_corner,32,0.3,0.1,1,done,2026-07-24T00:16:33.514
inner_corner,32,0.3,0.2,1,done,2026-07-24T00:16:33.579
inner_corner,32,0.3,0.3,1,done,2026-07-24T00:16:33.619
inner_corner,32,0.3,0.4,1,done,2026-07-24T00:16:33.681
inner_corner,48,0.3,0.0,1,done,2026-07-24T00:16:36.876
inner_corner,48,0.3,0.1,1,done,2026-07-24T00:16:37.739
inner_corner,48,0.3,0.2,1,done,2026-07-24T00:16:38.961
inner_corner,48,0.3,0.3,1,done,2026-07-24T00:16:40.457
inner_corner,48,0.3,0.4,1,done,2026-07-24T00:16:42.040
inner_corner,64,0.3,0.0,1,done,2026-07-24T00:16:45.694
inner_corner,64,0.3,0.1,1,done,2026-07-24T00:16:47.934
inner_corner,64,0.3,0.2,1,done,2026-07-24T00:16:50.474
inner_corner,64,0.3,0.3,1,done,2026-07-24T00:16:52.922
