class_length,rho0,delta_lambda,trial,status,completed_at
48,0.2,0.2,2,done,2026-07-23T23:55:49.111
48,0.2,0.3,2,done,2026-07-23T23:55:55.798
48,0.2,0.4,2,done,2026-07-23T23:56:09.778
64,0.2,0.0,2,done,2026-07-23T23:56:10.042
64,0.2,0.1,2,done,2026-07-23T23:56:10.548
64,0.2,0.2,2,done,2026-07-23T23:56:11.689
64,0.2,0.3,2,done,2026-07-23T23:56:13.010
64,0.2,0.4,2,done,2026-07-23T23:56:19.813
96,0.2,0.0,2,done,2026-07-23T23:56:21.549
96,0.2,0.1,2,done,2026-07-23T23:56:23.316
96,0.2,0.2,2,done,2026-07-23T23:56:25.422
96,0.2,0.3,2,done,2026-07-23T23:56:26.779
96,0.2,0.4,2,done,2026-07-23T23:56:28.664
128,0.2,0.0,2,done,2026-07-23T23:56:31.890
128,0.2,0.1,2,done,2026-07-23T23:56:34.285
128,0.2,0.2,2,done,2026-07-23T23:56:39.072
128,0.2,0.3,2,done,2026-07-23T23:56:43.266
128,0.2,0.4,2,done,2026-07-23T23:56:48.044
32,0.3,0.0,2,done,2026-07-23T23:56:48.058
32,0.3,0.1,2,done,2026-07-23T23:56:48.069
32,0.3,0.2,2,done,2026-07-23T23:56:48.088
32,0.3,0.3,2,done,2026-07-23T23:56:48.119
32,0.3,0.4,2,done,2026-07-23T23:56:48.196
48,0.3,0.0,2,done,2026-07-23T23:56:49.271
48,0.3,0.1,2,done,2026-07-23T23:56:49.402
48,0.3,0.2,2,done,2026-07-23T23:56:49.777
48,0.3,0.3,2,done,2026-07-23T23:56:50.135
48,0.3,0.4,2,done,2026-07-23T23:56:50.994
64,0.3,0.0,2,done,2026-07-23T23:56:51.959
64,0.3,0.1,2,done,2026-07-23T23:56:53.583
64,0.3,0.2,2,done,2026-07-23T23:56:54.437
64,0.3,0.3,2,done,2026-07-23T23:56:54.952
64,0.3,0.4,2,done,2026-07-23T23:56:55.561
96,0.3,0.0,2,done,2026-07-23T23:56:56.534
96,0.3,0.1,2,done,2026-07-23T23:56:57.919
96,0.3,0.2,2,done,2026-07-23T23:56:59.440
96,0.3,0.3,2,done,2026-07-23T23:57:01.472
96,0.3,0.4,2,done,2026-07-23T23:57:20.945
128,0.3,0.0,2,done,2026-07-23T23:57:24.884
128,0.3,0.1,2,done,2026-07-23T23:57:27.238
128,0.3,0.2,2,done,2026-07-23T23:57:28.632
128,0.3,0.3,2,done,2026-07-23T23:57:31.644
128,0.3,0.4,2,done,2026-07-23T23:57:39.208
32,0.4,0.0,2,done,2026-07-23T23:57:39.215
32,0.4,0.1,2,done,2026-07-23T23:57:39.224
32,0.4,0.2,2,done,2026-07-23T23:57:39.238
32,0.4,0.3,2,done,2026-07-23T23:57:39.251
32,0.4,0.4,2,done,2026-07-23T23:57:39.293
48,0.4,0.0,2,done,2026-07-23T23:57:39.484
48,0.4,0.1,2,done,2026-07-23T23:57:39.581
48,0.4,0.2,2,done,2026-07-23T23:57:40.246
48,0.4,0.3,2,done,2026-07-23T23:57:40.313
48,0.4,0.4,2,done,2026-07-23T23:57:40.579
64,0.4,0.0,2,done,2026-07-23T23:57:41
64,0.4,0.1,2,done,2026-07-23T23:57:41.509
64,0.4,0.2,2,done,2026-07-23T23:57:42.888
64,0.4,0.3,2,done,2026-07-23T23:57:44.321
